persid,cluster_id,household_id,participant_id,age_band,sex,year,trip_id,trip_purpose,participant_wt,trips_wt,trip_mode,trip_duration,trip_distance,day_type,trip_id_2,age_group,dist_cat
100181/1000,NA,100181,45,45-49 years,female,21,160,Other,544.801513671875,544.801513671875,car,20,4.66,weekday,2,40 to 64,3-5km
100181/1000,NA,100181,45,45-49 years,female,21,161,Leisure,544.801513671875,544.801513671875,car,4,1.32,weekday,3,40 to 64,1-2km
100181/1000,NA,100181,45,45-49 years,female,21,162,Leisure,544.801513671875,544.801513671875,car,3,1.32,weekday,4,40 to 64,1-2km
100181/1001,NA,100181,46,45-49 years,male,21,163,Work,455.289733886719,455.289733886719,car,20,6.07,weekday,1,40 to 64,6-10km
100181/1001,NA,100181,46,45-49 years,male,21,164,Work,455.289733886719,455.289733886719,car,20,6.4,weekday,2,40 to 64,6-10km
100182/1000,NA,100182,47,40-44 years,male,21,165,Other,122.080093383789,122.080093383789,car,10,1.54,weekday,1,40 to 64,1-2km
100182/1000,NA,100182,47,40-44 years,male,21,166,Other,122.080093383789,122.080093383789,car,10,1.54,weekday,2,40 to 64,1-2km
100182/1000,NA,100182,47,40-44 years,male,21,167,Other,122.080093383789,122.080093383789,car,10,1.54,weekday,3,40 to 64,1-2km
100182/1000,NA,100182,47,40-44 years,male,21,168,Other,122.080093383789,122.080093383789,car,10,1.54,weekday,4,40 to 64,1-2km
100184/1000,NA,100184,48,25-29 years,male,21,169,Work,228.088623046875,228.088623046875,car,15,8.92,weekday,1,20 to 39,6-10km
100184/1000,NA,100184,48,25-29 years,male,21,170,Work,228.088623046875,228.088623046875,car,15,8.95,weekday,2,20 to 39,6-10km
100184/1002,NA,100184,49,20-24 years,male,21,171,Shopping,233.046676635742,233.046676635742,pedestrian,20,1.22,weekday,1,20 to 39,1-2km
100184/1002,NA,100184,49,20-24 years,male,21,172,Shopping,233.046676635742,233.046676635742,pedestrian,20,1.22,weekday,2,20 to 39,1-2km
100190/1000,NA,100190,50,60-64 years,female,21,173,Leisure,170.002777099609,170.002777099609,pedestrian,20,1.48,weekday,1,40 to 64,1-2km
100190/1000,NA,100190,50,60-64 years,female,21,174,Leisure,170.002777099609,170.002777099609,pedestrian,20,1.48,weekday,2,40 to 64,1-2km
100190/1001,NA,100190,51,55-59 years,male,21,175,Work,159.136917114258,159.136917114258,car,15,11.9,weekday,1,40 to 64,>10km
100190/1001,NA,100190,51,55-59 years,male,21,176,Work,159.136917114258,159.136917114258,car,20,11.9,weekday,2,40 to 64,>10km
100364/1000,NA,100364,52,30-34 years,male,21,177,Work,139.366546630859,139.366546630859,car,15,4.47,weekday,1,20 to 39,3-5km
100364/1000,NA,100364,52,30-34 years,male,21,178,Work,139.366546630859,139.366546630859,car,10,4.45,weekday,2,20 to 39,3-5km
100364/1000,NA,100364,52,30-34 years,male,21,179,Work,139.366546630859,139.366546630859,car,20,5.68,weekday,3,20 to 39,6-10km
100364/1000,NA,100364,52,30-34 years,male,21,180,Work,139.366546630859,139.366546630859,car,20,5.69,weekday,4,20 to 39,6-10km
100364/1001,NA,100364,53,35-39 years,female,21,181,Work,140.541229248047,140.541229248047,car,40,24.41,weekday,1,20 to 39,>10km
100364/1001,NA,100364,53,35-39 years,female,21,182,Work,140.541229248047,140.541229248047,car,30,24.86,weekday,2,20 to 39,>10km
100365/1000,NA,100365,54,50-54 years,female,21,183,Shopping,69.2914581298828,69.2914581298828,pedestrian,25,1.48,weekday,1,40 to 64,1-2km
100365/1000,NA,100365,54,50-54 years,female,21,184,Shopping,69.2914581298828,69.2914581298828,pedestrian,24,1.48,weekday,2,40 to 64,1-2km
100365/1001,NA,100365,55,50-54 years,male,21,185,Other,76.2739486694336,76.2739486694336,car,30,15.67,weekday,1,40 to 64,>10km
100365/1001,NA,100365,55,50-54 years,male,21,186,Shopping,76.2739486694336,76.2739486694336,car,6,1.78,weekday,2,40 to 64,1-2km
100365/1001,NA,100365,55,50-54 years,male,21,187,Shopping,76.2739486694336,76.2739486694336,car,24,15.77,weekday,3,40 to 64,>10km
100367/1000,NA,100367,56,50-54 years,female,21,188,Shopping,135.186767578125,135.186767578125,car,10,4.21,weekday,1,40 to 64,3-5km
100367/1000,NA,100367,56,50-54 years,female,21,189,Shopping,135.186767578125,135.186767578125,car,5,4.31,weekday,2,40 to 64,3-5km
100367/1001,NA,100367,57,50-54 years,male,21,190,Work,148.809509277344,148.809509277344,car,75,38.41,weekday,1,40 to 64,>10km
100367/1001,NA,100367,57,50-54 years,male,21,191,Shopping,148.809509277344,148.809509277344,car,30,23.08,weekday,2,40 to 64,>10km
100367/1001,NA,100367,57,50-54 years,male,21,192,Work,148.809509277344,148.809509277344,car,30,23.06,weekday,3,40 to 64,>10km
100367/1001,NA,100367,57,50-54 years,male,21,193,Work,148.809509277344,148.809509277344,car,45,37.76,weekday,4,40 to 64,>10km
100367/1002,NA,100367,58,20-24 years,male,21,194,Education,228.728454589844,228.728454589844,car,50,23.25,weekday,1,20 to 39,>10km
100367/1002,NA,100367,58,20-24 years,male,21,195,Shopping,228.728454589844,228.728454589844,car,17,13.74,weekday,2,20 to 39,>10km
