"persid","cluster_id","household_id","participant_id","age_band","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"90406/1000",NA,90406,4238,"55-59 years","male",21,14872,"Work",86.312614440918,86.312614440918,"car",0.75,22.04,"weekday",4,"40 to 64",">10km","car",22.04,0.75,5.25,5.25
"90406/1001",NA,90406,4239,"45-49 years","female",21,14873,"Work",83.8268890380859,83.8268890380859,"car",0.5,6.51,"weekday",1,"40 to 64","6-10km","car",6.51,0.5,3.5,3.5
"90406/1001",NA,90406,4239,"45-49 years","female",21,14874,"Work",83.8268890380859,83.8268890380859,"car",0.25,6.18,"weekday",2,"40 to 64","6-10km","car",6.18,0.25,1.75,1.75
"90407/1000",NA,90407,4240,"65-69 years","male",21,14875,"Other",133.418899536133,133.418899536133,"car",0.35,12.78,"weekday",1,"65 plus",">10km","car",12.78,0.35,2.45,2.45
"90407/1000",NA,90407,4240,"65-69 years","male",21,14876,"Other",133.418899536133,133.418899536133,"car",0.333333333333333,12.56,"weekday",2,"65 plus",">10km","car",12.56,0.333333333333333,2.33333333333333,2.33333333333333
"90407/1001",NA,90407,4241,"60-64 years","female",21,14877,"Leisure",126.074600219727,126.074600219727,"car",0.266666666666667,3.11,"weekday",1,"40 to 64","3-5km","car",3.11,0.266666666666667,1.86666666666667,1.86666666666667
"90407/1001",NA,90407,4241,"60-64 years","female",21,14878,"Shopping",126.074600219727,126.074600219727,"car",0.0833333333333333,3.67,"weekday",2,"40 to 64","3-5km","car",3.67,0.0833333333333333,0.583333333333333,0.583333333333333
"90407/1001",NA,90407,4241,"60-64 years","female",21,14879,"Shopping",126.074600219727,126.074600219727,"car",0.166666666666667,1.84,"weekday",3,"40 to 64","1-2km","bicycle",1.84,0.167272727272727,1.16666666666667,1.17090909090909
"90407/1001",NA,90407,4241,"60-64 years","female",21,14880,"Other",126.074600219727,126.074600219727,"car",0.333333333333333,6.39,"weekday",4,"40 to 64","6-10km","car",6.39,0.333333333333333,2.33333333333333,2.33333333333333
"90407/1001",NA,90407,4241,"60-64 years","female",21,14881,"Other",126.074600219727,126.074600219727,"car",0.25,4.83,"weekday",5,"40 to 64","3-5km","car",4.83,0.25,1.75,1.75
"90407/1001",NA,90407,4241,"60-64 years","female",21,14882,"Other",126.074600219727,126.074600219727,"car",0.0833333333333333,0.91,"weekday",6,"40 to 64","<1km","walking",0.91,0.2275,0.583333333333333,1.5925
